Cliente;Edad;Renta;Sexo;EstadoCivil;NivelSocioEconomico;Departamento;AntiguedadCuenta_Meses;RegistraAdicionales;NumeroAdicionales;AntiguedadAdicionales_Meses;LineaCreditoNormal;SituacionCuenta;PromediodePagos;SaldoExtra;SaldoNormal;SaldoTotal;HabitodePago1;HabitodePago2;HabitodePago3;HabitodePago4;HabitodePago5;HabitodePago6;HabitodePago7;HabitodePago8;PeorHabito Pago;FlagRefinanciadoHistórico;FlagRefinanciado;DiasMora200812;DiasMora200901;DiasMora200902;DiasMora200903;DiasMora200904;DiasMora200905;CódigoInstitucion;PagaDespues;DispEfectivo;CalificacionSBS;CompraAnual_200806_200905;NroTransaccionesAnual_200806_200905;CompraMensualMaxima_200806_200905;Flag_Cliente
1007469;38;3900;M;S;C;LIMA;51.27;0;;;4600;0;7;4152;6871;11023;A;A;A;4;1;B;A;4;;Ref.C;Registró Refinanciación;0;0;0;21;20;21;0;1;0;1;;;;0
1007735;48;1305;M;S;C;LIMA;51.27;0;;;1100;5;6;10943;4634;15577;B;A;4;9;4;2;1;2;;Ref.C;Registró Refinanciación;6;37;3;34;36;67;0;1;1;2;189.94;14;54.87;0
1008432;36;;F;S;N;AREQUIPA;51.2;1;1;45.23;600;5;A;0;525;525;B;A;4;B;B;B;B;A;;Ref.C;Registró Refinanciación;46;77;0;16;46;46;0;0;0;2;39.42;2;39.42;0
1008870;25;;M;S;C;LIMA;51.17;0;;;800;5;5;0;791;791;B;A;4;2;1;2;1;1;;N/V;No Registró;;1;0;31;31;1;0;0;0;3;2484.22;35;726.6;0
1010084;39;;M;S;C;LIMA;51.03;0;;;1000;0;7;0;1529;1529;2;C;B;A;A;4;2;1;;N/V;No Registró;26;26;54;85;0;0;0;1;4;2;407.76;4;239.8;0
1011414;29;;F;S;N;LA LIBERTAD;50.93;1;1;18.6;4500;5;3;1303;13712;15015;A;4;1;2;1;1;1;1;;N/V;No Registró;0;0;0;0;20;51;0;0;1;1;8335.3;16;6950;0
1012500;28;;M;S;A;LIMA;50.8;0;;;6000;0;9;0;3010;3010;9;B;B;A;B;A;A;4;;Ref.C;Registró Refinanciación;51;21;49;49;20;0;0;1;0;1;4890.98;20;2788;0
1013211;30;;M;S;B;LIMA;50.77;0;;;4900;5;8;24094;7725;31819;A;4;C;B;A;A;4;2;;N/V;No Registró;16;47;75;0;15;46;0;2;0;1;776.7;5;602;0
1014876;39;;M;S;N;LAMBAYEQUE;50.6;0;;;600;5;9;0;631;631;A;A;4;C;B;A;A;4;;N/V;No Registró;56;0;0;26;56;0;0;0;0;4;2048;14;590;0
1015126;37;;M;C;D;LIMA;50.57;0;;;400;5;D;0;2208;2208;D;D;D;D;D;D;D;D;;N/V;No Registró;102;103;100;101;100;100;0;0;0;0;;;;0
1015634;49;550;F;S;C;LIMA;50.53;0;;;850;5;5;0;1868;1868;4;2;A;A;4;2;9;4;;Ref.C;Registró Refinanciación;11;42;0;0;10;41;0;0;3;2;2144.58;35;302.6;0
1019702;28;550;M;S;D;LIMA;50.27;0;;;600;5;7;0;621;621;4;4;B;B;A;4;9;4;;Ref.C;Registró Refinanciación;36;67;0;6;0;6;400;0;2;2;1274.73;23;399.29;0
1020061;37;;M;S;N;LAMBAYEQUE;50.23;1;1;3.83;2800;0;2;4270;4949;9219;2;2;2;1;2;1;1;2;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;10912.73;130;1293.9;0
1020572;38;;F;C;N;LAMBAYEQUE;50.2;1;1;30.4;500;0;8;0;497;497;A;4;9;B;A;B;A;4;;N/V;No Registró;16;47;13;0;15;46;0;0;0;2;965.78;13;375.9;0
1020642;30;1923;M;S;C;LIMA;50.17;1;1;37.33;800;5;7;0;637;637;2;1;C;B;A;4;B;A;;N/V;No Registró;31;62;60;1;0;1;300;0;1;3;1738.13;53;375;0
1020983;32;;F;C;D;LIMA;50.13;0;;;500;5;9;0;529;529;A;A;B;A;4;9;B;A;;N/V;No Registró;1;32;60;31;31;31;400;0;0;2;2471.67;38;1298;0
1021076;30;;F;S;N;AREQUIPA;50.13;0;;;1800;5;8;0;3925;3925;A;4;2;B;B;B;A;A;;N/V;No Registró;46;47;0;0;15;46;0;1;0;4;1269.12;26;785.7;0
1021161;39;;F;C;N;PIURA;50.13;0;;;1400;5;4;272;2219;2491;A;4;4;2;2;2;1;2;;N/V;No Registró;6;6;3;6;36;67;400;1;0;3;904.14;15;409.7;0
1021352;24;818;M;S;D;LIMA;50.1;0;;;500;5;8;0;317;317;A;4;9;A;A;4;9;B;;N/V;No Registró;31;32;29;1;31;1;0;0;0;2;1015.7;18;447.9;0
1021753;25;2894;M;S;N;AREQUIPA;50.1;1;1;14.17;1200;5;7;0;1202;1202;2;B;A;B;A;4;9;4;;N/V;No Registró;31;1;29;60;0;1;0;0;0;0;2899.41;58;436.92;0
1023591;39;1560;M;C;N;AREQUIPA;49.93;0;;;1100;0;9;0;1085;1085;B;A;4;C;B;A;A;4;;N/V;No Registró;51;0;0;21;51;0;0;2;0;2;1639.44;19;452.37;0
1023705;38;600;F;S;N;LA LIBERTAD;49.93;0;;;1000;5;7;4327;1503;5830;B;B;B;A;4;1;1;1;;N/V;No Registró;0;16;44;44;46;46;0;1;0;3;504.35;5;264.55;0
1024132;26;;M;S;C;LIMA;49.9;0;;;1750;0;7;0;1740;1740;A;4;A;A;4;4;9;4;;N/V;No Registró;1;32;0;1;31;1;951;1;0;2;2003.32;34;1534.35;0
1024744;25;;F;S;D;LIMA;49.83;0;;;500;0;5;0;505;505;1;2;B;B;A;4;1;2;;N/V;No Registró;36;67;0;0;0;6;400;1;6;4;1445.05;66;437.61;0
1027127;28;;F;S;D;LIMA;49.67;0;;;500;5;8;0;573;573;B;A;1;9;4;7;A;A;;N/V;No Registró;0;16;0;16;46;77;400;0;0;2;1625.13;22;529.29;0
1027657;38;655;M;S;D;LIMA;49.63;1;1;49.6;500;0;B;0;512;512;B;C;B;A;A;A;A;B;;N/V;No Registró;16;16;44;75;74;0;0;0;0;4;1638.87;26;522.72;0
1029052;31;;M;S;C;LIMA;49.53;0;;;1300;5;3;1635;2154;3789;A;4;1;1;1;1;2;2;;N/V;No Registró;0;0;0;11;41;72;0;0;0;2;763.28;25;230.81;0
1029292;37;;F;C;N;PIURA;49.53;1;1;49.27;500;5;8;703;1126;1829;4;A;B;A;A;A;4;9;;Ref.C;Registró Refinanciación;36;37;34;0;5;36;0;1;0;1;18.1;1;18.1;0
1030438;29;;M;S;N;LA LIBERTAD;49.43;0;;;1500;5;5;2056;2582;4638;B;A;4;1;1;2;1;1;;N/V;No Registró;0;0;0;21;51;82;0;1;2;2;1176.39;19;315.71;0
1031614;32;1116;M;S;C;LIMA;49.37;0;;;1900;0;3;4156;4946;9101;A;4;2;1;2;2;1;1;;Ref.C;Registró Refinanciación;0;0;0;6;36;0;0;1;2;2;5302.28;34;2049.54;0
1031701;61;1009;M;C;N;LA LIBERTAD;49.33;0;;;1400;5;A;2013;432;2444;B;B;B;A;A;A;A;A;;N/V;No Registró;6;37;34;34;64;6;0;0;0;3;58.7;1;58.7;0
1031877;32;;M;S;C;LIMA;49.33;0;;;1100;0;5;852;1382;2234;9;4;9;4;2;2;2;2;;Ref.C;Registró Refinanciación;0;6;3;6;36;0;0;0;0;2;2143.04;57;295.21;0
1032425;43;;F;S;C;LIMA;49.3;0;;;2000;0;7;0;1971;1971;B;B;A;4;2;4;7;4;;Ref.C;Registró Refinanciación;6;6;34;34;64;6;0;0;4;3;1548.45;31;282.69;0
1033253;39;;F;C;D;LIMA;49.2;0;;;700;0;6;0;644;644;9;4;2;2;B;A;A;4;;N/V;No Registró;1;1;0;1;31;1;400;0;2;4;891.49;11;360.12;0
1033326;29;;F;S;C;LIMA;49.2;1;1;43.63;800;5;5;352;911;1263;4;2;B;A;4;2;1;1;;N/V;No Registró;1;32;60;1;0;31;0;0;0;2;2450.04;30;642.49;0
1033824;36;6500;F;S;A;LIMA;49.17;1;2;17.13;6700;0;5;0;5730;5730;1;1;B;A;4;9;4;1;;Ref.C;Registró Refinanciación;0;26;54;0;0;0;0;0;5;4;5915.79;43;3499;0
1034236;26;1987;M;S;C;LIMA;49.13;1;1;46.9;800;5;9;0;558;558;B;B;B;A;4;A;A;4;;Ref.C;Registró Refinanciación;0;26;54;54;56;26;0;1;0;3;47.9;1;47.9;0
1036160;33;5555;M;S;A;LIMA;49;1;1;49;12600;0;1;0;1697;1697;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;2543.57;34;469;0
1036323;33;;F;S;N;PIURA;48.97;0;;;2500;0;5;2649;5408;8056;A;A;4;2;1;2;2;4;;N/V;No Registró;0;0;0;21;20;0;0;1;1;1;4901.73;60;1259.3;0
1037905;54;;M;C;N;PIURA;48.9;0;;;1400;0;7;3523;1642;5165;B;A;A;A;4;2;2;2;;Ref.C;Registró Refinanciación;0;21;18;21;51;0;0;1;3;2;31;1;31;0
1037951;23;900;F;S;N;AREQUIPA;48.87;1;1;48.6;500;0;4;0;529;529;1;4;2;9;4;9;4;2;;N/V;No Registró;0;21;0;0;0;0;0;2;0;4;1550.04;24;348;0
1039253;36;;M;S;D;LIMA;48.77;1;2;18.5;500;0;3;0;203;203;1;4;1;4;1;7;4;1;;N/V;No Registró;;0;0;0;20;0;0;0;0;0;1258.04;28;232.9;0
1039352;31;;M;S;N;LA LIBERTAD;48.77;0;;;500;0;5;0;532;532;2;B;A;4;1;1;1;9;;N/V;No Registró;0;0;18;49;0;0;400;0;1;4;1772.13;32;620.9;0
1039522;36;606;M;S;C;LIMA;48.73;1;1;16.7;1000;5;6;0;1146;1146;B;A;4;9;4;2;2;2;;Ref.C;Registró Refinanciación;0;16;0;16;46;77;0;0;7;2;1337.64;18;625.27;0
1039701;45;2844;F;S;B;LIMA;48.73;1;1;48.73;4300;5;5;4438;10753;15191;B;A;4;1;2;1;1;1;;N/V;No Registró;0;0;0;16;46;77;0;0;0;2;12344.43;41;6509.5;0
1039830;24;;F;S;B;LIMA;48.73;0;;;2700;0;8;0;2079;2079;1;B;C;B;A;B;A;4;;Ref.C;Registró Refinanciación;36;67;65;0;0;0;0;0;0;2;;;;0
1039928;30;;F;S;D;LIMA;48.73;0;;;600;0;7;0;1335;1335;B;A;B;A;4;4;2;2;;N/V;No Registró;11;42;8;39;10;0;951;2;0;1;2196.21;35;1479.37;0
1040020;36;;M;S;B;LIMA;48.73;1;1;24.13;2200;5;4;480;2684;3164;A;4;2;0;0;1;1;2;;N/V;No Registró;0;0;0;11;41;72;0;2;0;4;2083.88;14;1287.8;0
1040952;34;;M;S;N;AREQUIPA;48.67;1;1;31.5;700;5;8;0;390;390;B;C;B;A;4;2;4;4;;N/V;No Registró;1;32;60;60;61;62;0;0;0;3;1117.9;20;279;0
1040958;24;;M;S;N;AREQUIPA;48.67;0;;;500;0;9;0;62;62;B;C;C;B;A;4;1;1;;N/V;No Registró;16;47;75;75;46;0;400;1;0;2;925.7;7;563;0
1041290;30;;M;S;N;LAMBAYEQUE;48.63;0;;;500;5;5;0;1035;1035;B;A;4;2;2;1;2;4;;N/V;No Registró;0;0;0;16;46;77;0;2;7;4;;;;0
1042339;36;879;F;S;C;LIMA;48.53;1;1;48.43;700;5;B;0;646;646;B;A;B;A;B;B;B;A;;N/V;No Registró;11;42;8;39;41;72;0;0;0;4;1101.7;3;415.5;0
1042418;24;;F;S;N;LAMBAYEQUE;48.5;1;1;15.33;500;0;8;0;562;562;B;A;4;2;1;B;B;A;;N/V;No Registró;0;0;0;16;46;77;0;0;1;4;972.98;11;479;0
1043497;33;655;F;S;D;LIMA;48.47;1;2;48.47;600;0;9;0;583;583;A;A;B;A;B;A;4;2;;N/V;No Registró;11;42;8;39;10;0;0;0;0;4;582.69;3;327.5;0
1043580;38;;M;C;N;PIURA;48.43;0;;;1400;0;8;0;1705;1705;B;B;A;4;2;9;A;A;;Ref.C;Registró Refinanciación;0;0;18;49;51;0;0;0;0;2;1434.9;13;973;0
1044103;50;880;F;S;C;LIMA;48.4;1;1;48.13;900;5;B;0;128;128;C;B;B;C;B;B;A;B;;N/V;No Registró;72;42;39;70;69;41;0;0;0;4;;;;0
1046090;29;;F;S;C;LIMA;48.23;0;;;800;5;7;0;702;702;A;A;4;2;7;A;A;4;;N/V;No Registró;0;6;3;6;36;36;0;1;1;3;2565.43;35;505.6;0
1048908;34;;M;S;D;LIMA;48.03;0;;;500;5;7;0;473;473;A;4;9;4;B;A;4;9;;N/V;No Registró;0;11;39;11;41;72;400;0;2;4;1372.14;18;798;0
1050523;24;798;F;S;D;LIMA;47.93;1;1;46.77;500;5;9;0;536;536;B;B;A;A;A;4;1;9;;N/V;No Registró;0;0;23;54;25;0;400;0;0;0;1501.12;21;495.9;0
1051908;36;;M;S;C;LIMA;47.8;0;;;2000;5;6;0;3881;3881;A;4;B;A;4;2;2;1;;Ref.C;Registró Refinanciación;0;21;49;0;20;21;0;0;0;3;6768.08;14;6054;0
1054212;35;2005;M;S;C;LIMA;47.63;0;;;1900;5;7;0;2072;2072;B;B;A;4;1;2;4;1;;N/V;No Registró;0;0;13;44;46;77;0;0;4;2;2452.32;22;722.53;0
1055278;23;838;M;S;D;LIMA;47.53;1;1;27.03;600;5;3;0;1100;1100;1;9;4;2;1;1;1;1;;Ref.C;Registró Refinanciación;0;0;8;39;0;11;0;1;4;1;1487.05;15;857;0
1055982;46;1705;M;C;B;LIMA;47.5;0;;;3100;5;4;2198;2050;4248;A;4;2;2;2;4;2;2;;N/V;No Registró;0;0;0;11;41;72;0;2;2;3;;;;0
1055985;35;2117;M;S;A;LIMA;47.5;0;;;7500;0;4;21963;4355;26318;A;4;2;1;7;4;2;2;;N/V;No Registró;0;0;0;11;41;0;0;2;0;4;1420.71;17;824.5;0
1056027;33;614;M;C;N;PIURA;47.47;1;2;47.23;700;0;5;373;839;1212;A;4;4;4;4;4;1;1;;Ref.C;Registró Refinanciación;11;0;8;11;41;0;0;1;2;2;450.92;29;136.67;0
1056138;32;958;M;S;N;AREQUIPA;47.47;0;;;1400;0;8;2129;1145;3274;B;B;A;A;4;9;4;1;;N/V;No Registró;6;37;34;34;64;0;0;2;0;3;1453.7;16;627.14;0
1056430;28;955;F;S;N;LA LIBERTAD;47.47;0;;;600;5;9;0;591;591;B;A;A;A;4;9;4;9;;N/V;No Registró;6;6;3;34;36;36;0;1;2;2;1153.85;28;469;0
1056770;50;;F;S;N;LA LIBERTAD;47.43;0;;;500;5;8;127;752;879;B;A;4;A;A;A;4;1;;Ref.C;Registró Refinanciación;16;47;0;16;46;77;400;1;0;3;555.91;24;163.3;0
1057964;32;;M;S;C;LIMA;47.3;1;1;31.07;1500;5;4;1039;2354;3394;A;4;2;2;2;2;2;2;;N/V;No Registró;1;1;0;1;31;62;0;0;0;0;2812.64;42;420;0
1059044;34;720;M;S;D;LIMA;47.23;0;;;700;5;5;1166;1265;2431;B;A;4;4;1;2;1;1;;N/V;No Registró;0;1;0;31;61;62;0;0;4;3;289.36;13;93.5;0
1059916;42;;F;S;D;LIMA;47.17;0;;;500;0;7;0;433;433;4;B;A;B;A;4;2;4;;Ref.C;Registró Refinanciación;26;0;23;54;0;0;0;0;3;4;517.12;8;330.41;0
1061158;22;;M;S;N;LA LIBERTAD;47.07;0;;;700;5;7;0;699;699;B;A;4;9;4;1;4;7;;N/V;No Registró;1;1;0;31;0;1;0;0;0;0;3345.18;11;2697;0
1061540;38;704;F;S;N;LAMBAYEQUE;47.03;0;;;1400;0;1;0;516;516;1;1;1;1;2;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1446.78;17;688.22;0
1062952;57;;M;S;D;LIMA;46.93;0;;;600;5;7;0;635;635;1;B;B;A;4;4;A;A;;Ref.C;Registró Refinanciación;0;26;54;54;0;0;0;0;1;3;415;9;157.55;0
1066934;27;;M;S;N;LA LIBERTAD;46.6;0;;;2000;0;8;11931;1457;13388;9;4;B;B;A;A;A;4;;N/V;No Registró;36;37;34;6;5;0;0;0;1;0;999.7;41;502.21;0
1067412;48;;M;S;C;LIMA;46.57;1;1;8.7;1700;5;8;0;2279;2279;B;A;4;A;A;4;1;9;;N/V;No Registró;16;47;0;16;46;77;0;0;0;4;6581.85;32;1379.9;0
1069558;27;;F;S;N;LAMBAYEQUE;46.4;0;;;650;0;A;0;610;610;B;B;B;A;B;A;A;A;;N/V;No Registró;46;16;44;44;46;16;0;0;0;4;848.9;2;824;0
1069918;55;1523;M;S;N;PIURA;46.37;1;2;46.3;1800;5;6;564;2026;2590;B;A;4;2;4;9;4;2;;Ref.C;Registró Refinanciación;6;6;3;34;0;6;0;0;1;1;4767.67;38;612.06;0
1070422;28;;F;S;N;LAMBAYEQUE;46.33;1;3;39.03;1000;5;4;0;1454;1454;A;4;2;2;2;2;1;1;;N/V;No Registró;0;0;3;6;36;67;0;2;7;2;548.17;37;167.06;0
1070817;35;1858;M;S;C;LIMA;46.33;0;;;1000;5;7;0;927;927;2;B;A;4;1;4;B;B;;N/V;No Registró;0;6;34;65;5;6;0;0;0;0;1806.1;10;803.3;0
1070971;24;;M;S;B;LIMA;46.33;0;;;2500;5;B;0;2779;2779;A;B;B;A;C;C;B;B;;N/V;No Registró;0;26;23;0;25;56;951;0;0;4;2525.49;21;1500;0
1072657;55;;M;C;N;PIURA;46.17;0;;;500;5;4;0;644;644;A;4;2;2;2;1;1;1;;N/V;No Registró;0;0;3;6;36;67;400;1;6;2;824.39;22;241.59;0
1072691;25;;F;S;C;LIMA;46.17;1;1;45.83;500;5;8;0;860;860;B;A;A;4;9;A;4;1;;N/V;No Registró;31;1;0;31;61;31;0;0;0;3;;;;0
1073169;39;817;F;S;N;LA LIBERTAD;46.13;1;1;28.47;1400;5;9;705;1521;2226;A;4;B;A;B;A;A;A;;Ref.C;Registró Refinanciación;62;32;60;1;31;62;0;0;1;0;632.41;35;164.6;0
1073195;52;605;F;D;N;LAMBAYEQUE;46.13;0;;;1800;0;9;1067;1198;2265;B;B;A;4;A;A;4;B;;Ref.C;Registró Refinanciación;0;1;29;60;61;0;0;1;0;3;790.06;31;101.7;0
1073363;22;275;F;S;N;AREQUIPA;46.13;1;2;32.17;850;0;6;0;1046;1046;A;4;4;2;A;A;4;2;;N/V;No Registró;0;1;0;1;31;62;0;2;0;3;1902.91;48;482.8;0
1073877;38;605;M;S;N;PIURA;46.1;0;;;800;5;A;0;565;565;B;B;B;A;4;B;B;A;;Ref.C;Registró Refinanciación;6;37;34;34;64;36;0;0;0;3;495.17;22;173.28;0
1074678;29;676;M;S;D;LIMA;46.07;0;;;600;5;9;0;720;720;A;4;B;A;B;A;A;A;;N/V;No Registró;0;26;54;0;25;56;0;0;0;4;1321.58;27;477;0
1078987;38;;M;S;D;LIMA;45.67;1;1;45.67;600;5;5;0;906;906;B;A;4;1;4;2;2;1;;N/V;No Registró;0;0;0;16;46;77;0;1;5;4;1012.09;12;438;0
1079266;28;709;M;S;N;LAMBAYEQUE;45.63;1;2;43.4;1300;5;7;1677;1941;3618;B;A;4;1;1;B;B;A;;N/V;No Registró;0;0;0;16;46;77;0;1;1;4;1737.4;51;268.45;0
1079309;54;;F;S;D;LIMA;45.63;0;;;700;5;7;0;586;586;C;B;A;4;2;1;2;9;;N/V;No Registró;0;0;13;44;74;46;400;0;1;3;1395.08;29;672.4;0
1079848;32;879;M;S;C;LIMA;45.63;0;;;1400;5;5;0;3522;3522;B;A;4;4;1;1;1;1;;N/V;No Registró;0;0;0;26;56;0;0;0;0;2;3630.7;16;3014;0
1079976;33;;F;S;C;LIMA;45.63;1;1;18.03;1800;5;7;325;1175;1499;A;B;A;A;4;2;2;2;;N/V;No Registró;1;32;29;31;31;31;0;0;6;2;;;;0
1080050;28;1300;F;S;N;LAMBAYEQUE;45.63;0;;;500;0;8;0;650;650;B;A;B;A;4;9;4;1;;N/V;No Registró;0;16;44;16;46;77;0;0;0;4;1162.94;22;351.87;0
1080500;33;;M;S;C;LIMA;45.53;1;3;45.23;1300;5;5;4079;2681;6760;A;4;9;4;2;1;1;1;;N/V;No Registró;0;11;0;11;41;72;0;1;0;3;65.88;2;45.88;0
1080882;31;1250;M;S;N;LAMBAYEQUE;45.5;0;;;1400;5;8;279;1686;1965;B;A;A;A;4;2;2;9;;Ref.C;Registró Refinanciación;0;16;13;16;46;77;0;0;0;2;454.1;4;454.1;0
1081416;32;979;M;S;C;LIMA;45.43;0;;;900;0;6;754;736;1489;B;A;4;2;2;1;9;4;;Ref.C;Registró Refinanciación;0;0;8;39;69;0;0;0;0;4;960.71;17;486;0
1081523;26;961;F;S;D;LIMA;45.43;0;;;500;5;8;0;1007;1007;A;B;B;A;4;2;1;1;;N/V;No Registró;0;21;49;0;20;51;400;1;0;4;3716.2;32;972.64;0
1081906;35;687;M;S;C;LIMA;45.4;1;1;42.6;1800;5;7;0;1811;1811;B;B;A;4;1;9;4;1;;N/V;No Registró;0;0;13;44;46;77;0;0;0;3;1762.67;15;1238.9;0
1087565;36;;F;S;D;LIMA;6.07;0;;;600;0;6;0;311;311;B;A;4;1;1;;;;;N/V;No Registró;0;1;0;31;31;1;0;0;0;2;1508.31;21;566.7;0
1091116;45;;F;C;C;LIMA;7.4;0;;;900;5;6;0;1353;1353;A;4;9;4;2;2;;;;N/V;No Registró;1;1;29;1;31;62;0;0;0;3;2824.8;15;2649;0
1092215;32;764;F;S;C;LIMA;33.67;0;;;3000;5;5;1027;4794;5820;A;4;4;A;4;2;2;2;;Ref.C;Registró Refinanciación;0;21;0;0;20;51;0;1;6;3;2790.9;31;768.9;0
1096192;38;;F;S;D;LIMA;10.4;0;;;500;5;4;0;492;492;A;4;2;2;2;2;1;1;;N/V;No Registró;0;0;0;0;15;16;0;1;1;2;820.51;9;343.69;0
1099932;67;;F;S;C;LIMA;25.27;0;;;500;5;8;0;513;513;A;A;A;A;4;1;1;B;;N/V;No Registró;1;1;0;31;0;1;400;0;0;4;1170.92;19;321.71;0
1100673;36;;M;S;D;LIMA;21.97;0;;;700;5;7;0;797;797;4;2;1;B;A;C;B;A;;N/V;No Registró;31;32;0;1;0;31;0;0;0;3;1482.54;12;399;0
1102197;40;;M;C;D;LIMA;14.3;1;3;14.23;700;0;8;0;653;653;9;4;B;A;4;7;4;9;;N/V;No Registró;0;26;54;0;25;0;0;1;0;2;973.61;21;219;0
1103404;31;;M;S;C;LIMA;35.17;1;1;22.53;800;5;6;0;360;360;C;B;A;4;1;2;2;1;;N/V;No Registró;0;6;34;65;64;67;0;0;0;2;536.6;25;338.6;0
1104132;41;;F;S;C;LIMA;14.87;0;;;1100;5;7;0;1073;1073;A;A;4;2;2;4;B;A;;Ref.C;Registró Refinanciación;1;1;0;1;31;62;0;0;1;4;1346.86;18;299;0
1111896;31;275;F;S;D;LIMA;9.2;0;;;500;0;7;0;440;440;B;B;A;A;4;1;1;1;;N/V;No Registró;0;21;18;49;51;82;0;0;0;2;1441.47;25;247.01;0
1114258;36;894;F;S;C;LIMA;19;1;1;18.13;1100;0;4;0;590;590;4;2;9;A;4;2;2;2;;N/V;No Registró;1;32;0;1;0;31;0;1;4;3;1346.69;41;279;0
1120070;37;;F;S;C;LIMA;21.37;0;;;800;0;6;0;819;819;1;9;4;2;B;B;A;4;;N/V;No Registró;0;0;0;26;0;0;951;2;0;3;1867.04;31;1402.2;0
1123718;36;;F;S;C;LIMA;10.7;0;;;500;0;9;0;282;282;C;B;B;A;A;4;1;0;;N/V;No Registró;6;37;34;65;0;0;0;0;0;3;996.46;13;387;0
1125984;29;689;M;S;N;LA LIBERTAD;8.3;0;;;800;0;6;0;835;835;1;9;B;A;4;4;1;0;;N/V;No Registró;0;21;49;21;0;0;0;0;0;0;5241.75;17;2499;0
1127589;28;1055;M;S;C;LIMA;11.1;0;;;1500;5;6;1881;2632;4513;A;A;A;4;4;4;4;1;;N/V;No Registró;0;0;23;26;25;56;0;0;2;1;2909.96;77;636.8;0
1131129;26;2000;M;S;B;LIMA;16.8;0;;;3200;0;4;0;4797;4797;1;A;A;4;1;1;1;1;;Ref.C;Registró Refinanciación;0;6;34;0;0;0;0;0;0;0;6499.6;33;4016.8;0
1131357;26;;F;S;D;LIMA;7.13;1;1;7.13;500;0;6;0;526;526;2;9;B;A;4;2;;;;N/V;No Registró;0;21;0;21;0;0;400;0;0;1;1652.91;24;271.9;0
1135581;36;;F;S;N;PIURA;9.2;0;;;1200;0;6;0;309;309;B;B;A;4;2;1;1;1;;N/V;No Registró;0;0;18;49;51;0;0;0;1;2;3043.46;53;1259.05;0
1135687;51;2500;F;S;N;PIURA;17.4;0;;;1000;5;5;0;1064;1064;2;B;A;4;2;2;2;1;;Ref.C;Registró Refinanciación;0;11;39;0;0;11;0;0;1;1;2901.05;57;587.65;0
1135822;54;;F;S;N;PIURA;19.97;0;;;500;5;8;0;641;641;A;4;B;A;4;B;A;4;;N/V;No Registró;0;26;54;0;25;56;400;0;0;3;648.7;3;330;0
1139885;34;;M;S;N;PIURA;23.87;0;;;400;0;6;0;465;465;4;B;A;4;2;9;4;4;;Ref.C;Registró Refinanciación;1;1;29;60;0;31;0;1;1;1;1364.67;20;380.53;0
1143631;53;1012;M;S;D;LIMA;30.03;0;;;600;5;6;0;607;607;1;9;4;9;B;A;4;4;;N/V;No Registró;6;37;3;34;0;6;0;0;0;2;1180.99;8;571;0
1149879;36;;F;S;D;LIMA;27.5;0;;;500;5;6;0;534;534;4;1;C;B;A;A;4;2;;Ref.C;Registró Refinanciación;26;57;54;0;0;26;400;0;0;3;572;18;140.47;0
1150266;45;;F;S;N;LAMBAYEQUE;6.7;0;;;1000;0;6;0;1349;1349;B;A;4;1;1;0;;;;N/V;No Registró;0;0;0;21;51;82;0;0;1;2;1137.48;26;439.06;0
1170869;52;;F;S;D;LIMA;10.33;0;;;500;0;5;0;229;229;A;4;2;2;2;9;4;2;;N/V;No Registró;1;1;0;1;31;1;400;1;0;2;780.29;8;244.08;0
1179321;50;608;M;S;C;LIMA;24.2;1;1;24.13;700;5;6;2666;759;3425;A;A;4;2;2;2;B;A;;N/V;No Registró;1;1;0;1;0;31;0;1;4;3;;;;0
1184331;39;1902;M;C;C;LIMA;11.57;0;;;1800;5;5;0;1574;1574;A;A;4;2;2;1;1;1;;N/V;No Registró;1;1;0;1;31;62;0;1;0;1;5395.51;58;646.5;0
1189109;40;291;F;S;B;LIMA;26.67;0;;;2300;5;5;1700;1319;3019;B;A;4;2;2;2;1;2;;N/V;No Registró;0;0;0;26;56;26;0;2;2;3;1890.75;48;571.6;0
1189958;40;;M;S;C;LIMA;35.07;0;;;1800;5;A;0;1577;1577;C;B;A;A;4;B;A;B;;N/V;No Registró;1;1;29;60;31;62;0;0;0;2;1647.86;28;1342.6;0
1192201;38;;F;C;D;LIMA;12.53;1;1;12.4;500;5;6;0;545;545;A;4;1;9;1;9;B;A;;N/V;No Registró;0;26;0;0;0;26;0;0;2;4;1127.59;16;331.2;0
1194428;36;;F;S;D;LIMA;12.03;0;;;700;5;7;0;496;496;B;B;A;A;4;1;1;1;;N/V;No Registró;0;16;13;44;46;16;0;0;0;1;1988.02;34;316.49;0
1196556;36;719;M;C;C;LIMA;9.2;0;;;1500;0;7;0;1145;1145;7;B;A;A;4;2;1;1;;Ref.C;Registró Refinanciación;0;21;18;49;20;0;0;0;1;1;2447.08;28;1299;0
1198684;38;1396;M;S;B;LIMA;32.47;1;1;31.8;2200;5;6;0;2137;2137;4;9;4;2;B;A;4;2;;Ref.C;Registró Refinanciación;0;1;0;31;0;31;0;0;4;1;1961.11;24;417.65;0
